id,english,translation
0x5093F984,"\n","< 번역 누락 : 0x5093F984 >"
0x50AA1BAD,"Isabel Guijarro","< 번역 누락 : 0x50AA1BAD >"
0x50AA1BAF,"Maria Beatriz Silva","< 번역 누락 : 0x50AA1BAF >"
0x50AF106E,"High","높 음"
0x51040E32,"Andrew Green","< 번역 누락 : 0x51040E32 >"
0x51651569,"RADIATION HAZARD","방 사 능 오 염"
0x516D4807,"SINGULARITY CORE FOUND","코 어 발 견"
0x5176DE13,"BALANCE","< 번역 누락 : 0x5176DE13 >"
0x5195BB18,"Data board is missing.","데이터 보드 없음"
0x5195BB19,"Tram damaged! Please repair and try again.","전동차 파손! 복구 하십시오"
0x5195BB1A,"Call tram to access main decks.","운 행 준 비"
0x5195BB1B,"Tram en route","운 행 중"
0x51A9162E,"Military-grade assault rifle with a high rate of fire.","높은 화력을 자랑하는 군용 등급의 소총."
0x51FE9C93,"PULSE RIFLE","펄스 라이플"
0x520BD18B,"VICTORY AGAINST THE LEVIATHAN","레 비 아 단 제 거"
0x52243760,"ELEVATOR PROBLEM","엘 리 베 이 터 문 제"
0x527C55BF,"Collect 150 Logs","기 록 150 개 수 집"
0x529C659A,"CONTACT BEAM","컨 택 트 빔"
0x52AA5B0F,"KENDRA IS ALIVE","켄 드 라 의 생 존"
0x52C1FA52,"Technical Director","< 번역 누락 : 0x52C1FA52 >"
0x52C2C0E4,"HURRY UP!","서 둘 러 !"
0x52D08453,"Use Stasis on 50 enemies","적 50명에게 감속장비 사용"
0x52E6E0A1,"Eviscerator","< 번역 누락 : 0x52E6E0A1 >"
0x53075819,"LARGE AIR CAN","대형 산소통"
0x53306D10,"Aim Mode (toggle)","조 준 [고 정]"
0x53614A68,"LOCKED DOOR","폐 문"
0x5378863F,"Go to the Crew Deck","승무원 갑판으로 가라"
0x53830C94,"Joseph Salud","< 번역 누락 : 0x53830C94 >"
0x538E78FF,"AUTOPSY REPORT","부 검 보 고 서"
0x53F6FC1A,"[Switch_Weapon]","< 번역 누락 : 0x53F6FC1A >"
0x5436239E,"[Pickup_Activate]","< 번역 누락 : 0x5436239E >"
0x5493A50D,"Bring this schematic to the store to unlock the Medium Med Pack.","상점에 가져가면 잠금이 해제됩니다."
0x54F87004,"Complete Chapter 7 on any difficulty setting","< 번역 누락 : 0x54F87004 >"
0x55133ED5,"Bring this schematic to the store to unlock the Large Air Can.","상점에 가져가면 잠금이 해제됩니다."
0x552F2085,"PLASMA CUTTER","플라즈마 커터"
0x5598048A,"Glow","조 명 효 과"
0x559E852E,"Alyssa Rose\nKai Jatin\nAlyssa\nLeoni\nIan Ansel\nJackson Thomas\nLucas\nZara James\nCaitlyn\nKai Joshua\nKody\nKyle\nJiannah Faith\nJack William\nAgatha Marjorie ","< 번역 누락 : 0x559E852E >"
0x55C27721,"FIND THE SINGULARITY CORE","코 어 를 찾 아 라"
0x55FDF678,"RENDEZVOUS","만 남 의 장 소"
0x5606993D,"ERROR","오 류"
0x561046DD,"LARGE MED PACK","대형 회복제"
0x561529E3,"Pavel Rutski","< 번역 누락 : 0x561529E3 >"
0x56364335,"International Campaign Executive","< 번역 누락 : 0x56364335 >"
0x56386C67,"A portable defibrillator should provide enough juice to detonate the thermite.  There's one in Zero-G Therapy, according to Hammond.","전기충격기로도 폭약을 터트리기에 충분할 것이다.무중력 치료실에 있다."
0x566100A5,"CROSS REPORT 3","크 로 스 의 기 록 3"
0x56615247,"Italiano","< 번역 누락 : 0x56615247 >"
0x5693560C,"SMALL AIR CAN","소형 산소통"
0x56A83E37,"Control Room","통 제 실"
0x56A83E38,"Days since last accident: 0","< 번역 누락 : 0x56A83E38 >"
0x56A93E76,"Tram Station","정 거 장"
0x56A93E77,"Thank you for visiting the Engineering Deck","< 번역 누락 : 0x56A93E77 >"
0x56AA3EB5,"Tram Station","정 거 장"
0x56AA3EB6,"Shift Workers please check in with Foreman on duty","< 번역 누락 : 0x56AA3EB6 >"
0x56AB3EF4,"Elevator to Centrifuge","< 번역 누락 : 0x56AB3EF4 >"
0x56AB3EF5,"Authorized Personnel Only","< 번역 누락 : 0x56AB3EF5 >"
0x56AC3F33,"Elevator to Centrifuge","< 번역 누락 : 0x56AC3F33 >"
0x56AC3F34,"Authorized Personnel Only","< 번역 누락 : 0x56AC3F34 >"
0x56AD3F72,"Refueling Control Stations","< 번역 누락 : 0x56AD3F72 >"
0x56AD3F73,"DANGER:  Authorized Personnel Only","< 번역 누락 : 0x56AD3F73 >"
0x56AE3FB1,"Control Room","통 제 실"
0x56AE3FB2,"Shift Workers please check in with Foreman on duty","< 번역 누락 : 0x56AE3FB2 >"
0x56AF3FF0,"Machine Shop","기 계 실"
0x56AF3FF1,"Reminder:  Please sync your RIG regularly","< 번역 누락 : 0x56AF3FF1 >"
0x56B0402F,"Control Room","통 제 실"
0x56B04030,"Secure all tool guards","< 번역 누락 : 0x56B04030 >"
0x56E6C3E0,"Weapon Slots Full","공 간 부 족"
0x56FF8A29,"ENGINE REFUELED","연 료 보 충"
0x57122B0B,"Edwin Molina","< 번역 누락 : 0x57122B0B >"
0x57122B0C,"Jeremy Natividad","< 번역 누락 : 0x57122B0C >"
0x57122B0D,"Bonnie Rosenstein","< 번역 누락 : 0x57122B0D >"
0x57254D79,"Refueling Control Stations","< 번역 누락 : 0x57254D79 >"
0x57254D7A,"DANGER:  Authorized Personnel Only","< 번역 누락 : 0x57254D7A >"
0x57264DB8,"Machine Shop","기 계 실"
0x57264DB9,"Reminder:  Please sync your RIG regularly","< 번역 누락 : 0x57264DB9 >"
0x57274DF7,"South Refueling Control Station","< 번역 누락 : 0x57274DF7 >"
0x57274DF8,"Accessible via Gondola","< 번역 누락 : 0x57274DF8 >"
0x57284E36,"North Refueling Control Station","< 번역 누락 : 0x57284E36 >"
0x57284E37,"Authorized Personnel Only","< 번역 누락 : 0x57284E37 >"
0x57294E75,"North Refueling Control Station","< 번역 누락 : 0x57294E75 >"
0x57294E76,"Accessible via Gondola","< 번역 누락 : 0x57294E76 >"
0x572A4EB4,"Control Room","통 제 실"
0x572A4EB5,"Secure all tool guards","< 번역 누락 : 0x572A4EB5 >"
0x572B4EF3,"To Control Room","< 번역 누락 : 0x572B4EF3 >"
0x572B4EF4,"You are leaving the clean zone","< 번역 누락 : 0x572B4EF4 >"
0x572C4F32,"To Centrifuge","< 번역 누락 : 0x572C4F32 >"
0x572C4F33,"Prepare for Decontamination","< 번역 누락 : 0x572C4F33 >"
0x572CB8C0,"LIST OF DEAD","사 망 자 명 단"
0x572D4F71,"To Control Room","< 번역 누락 : 0x572D4F71 >"
0x572D4F72,"You are leaving the clean zone","< 번역 누락 : 0x572D4F72 >"
0x572E4FB0,"To Centrifuge","< 번역 누락 : 0x572E4FB0 >"
0x572E4FB1,"Prepare for Decontamination","< 번역 누락 : 0x572E4FB1 >"
0x5734F0C3,"Character Technical Director","< 번역 누락 : 0x5734F0C3 >"
0x5771DEDA,"DECK C: MINING","< 번역 누락 : 0x5771DEDA >"
0x57A03BEB,"NODES DEPLETED!","노드 소진!"
0x57A03BEC,"Node reserves are empty. Unable to comply.","노드가 부족합니다."
0x57A35CFA,"To Control Room","< 번역 누락 : 0x57A35CFA >"
0x57A35CFB,"You are leaving the clean zone","< 번역 누락 : 0x57A35CFB >"
0x57A45D39,"Decontamination Room","< 번역 누락 : 0x57A45D39 >"
0x57A45D3A,"All personnel must undergo decontamination","< 번역 누락 : 0x57A45D3A >"
0x57A55D78,"To Control Room","< 번역 누락 : 0x57A55D78 >"
0x57A55D79,"Thank you for your cooperation","< 번역 누락 : 0x57A55D79 >"
0x57A65DB7,"Decontamination Room","< 번역 누락 : 0x57A65DB7 >"
0x57A65DB8,"Thank you for your cooperation","< 번역 누락 : 0x57A65DB8 >"
0x57A75DF6,"To Centrifuge","< 번역 누락 : 0x57A75DF6 >"
0x57A75DF7,"Thank you for your cooperation","< 번역 누락 : 0x57A75DF7 >"
0x57A85E35,"To Decontamination","< 번역 누락 : 0x57A85E35 >"
0x57A85E36,"Thank you for your cooperation","< 번역 누락 : 0x57A85E36 >"
0x57A95E74,"Emergency Supplies Storage","< 번역 누락 : 0x57A95E74 >"
0x57A95E75,"WARNING: Obstruction detected","< 번역 누락 : 0x57A95E75 >"
0x57AA5EB3,"Centrifuge Access","< 번역 누락 : 0x57AA5EB3 >"
0x57AA5EB4,"Danger: Variable Gravity","< 번역 누락 : 0x57AA5EB4 >"
0x57AA80B9,"Destroy the Poison Pods","오염의 원인들을 제거하라"
0x57AB5EF2,"Exit to Control Room","< 번역 누락 : 0x57AB5EF2 >"
0x57AB5EF3,"Thank you for your cooperation","< 번역 누락 : 0x57AB5EF3 >"
0x57AC5F31,"Centrifuge Access","< 번역 누락 : 0x57AC5F31 >"
0x57AC5F32,"Danger: Variable Gravity","< 번역 누락 : 0x57AC5F32 >"
0x57CB4244,"REPAIR INVOICE","정 비 내 역"
0x57E5CB06,"Autofire","< 번역 누락 : 0x57E5CB06 >"
0x5808EB8B,"Move Forward","앞 으 로"
0x58216C7B,"Exit to Control Room","< 번역 누락 : 0x58216C7B >"
0x58216C7C,"Secure gravity boots before exiting","< 번역 누락 : 0x58216C7C >"
0x58226CBA,"Elevator to Lower Level","< 번역 누락 : 0x58226CBA >"
0x58226CBB,"Danger: Variable Gravity","< 번역 누락 : 0x58226CBB >"
0x58236CF9,"To Engine Room","< 번역 누락 : 0x58236CF9 >"
0x58236CFA,"DANGER:  Authorized Personnel Only","< 번역 누락 : 0x58236CFA >"
0x58246D38,"Exit to Engine Room","< 번역 누락 : 0x58246D38 >"
0x58246D39,"WARNING: CRITICAL DOOR MALFUNCTION","< 번역 누락 : 0x58246D39 >"
0x58256D77,"Elevator to Lower Level","< 번역 누락 : 0x58256D77 >"
0x58256D78,"Watch for Automatic Equipment","< 번역 누락 : 0x58256D78 >"
0x58266DB6,"Elevator to Lower Level","< 번역 누락 : 0x58266DB6 >"
0x58266DB7,"Watch for Automatic Equipment","< 번역 누락 : 0x58266DB7 >"
0x58276DF5,"Engine Control Access","< 번역 누락 : 0x58276DF5 >"
0x58276DF6,"WARNING: EXTREME HEAT.  All personnel should wear proper protection","< 번역 누락 : 0x58276DF6 >"
0x58286E34,"Engine Room Exit","< 번역 누락 : 0x58286E34 >"
0x58286E35,"Secure gear before exiting","< 번역 누락 : 0x58286E35 >"
0x58296E73,"Return to Control Room","< 번역 누락 : 0x58296E73 >"
0x58296E74,"Reminder:  Please sync your RIG regularly","< 번역 누락 : 0x58296E74 >"
0x582A6EB2,"Return to Control Room","< 번역 누락 : 0x582A6EB2 >"
0x582A6EB3,"Reminder:  Please sync your RIG regularly","< 번역 누락 : 0x582A6EB3 >"
0x58624229,"Cursor Down","아 래"
0x5869026C,"USG Ishimura, this is the emergency maintenance team of the USG Kellion responding to your distress call. Come in, Ishimura.","이시무라호,여기는 켈리온호 응급지원팀이다.그쪽의 구조요청을 받고 왔다.응답하라,이시무라."
0x586A0278,"What is that?","이게 뭐지?"
0x586A02AB,"Argh, the field's too strong!","윽! 자기장이 너무 강합니다!"
0x586B02B7,"I'm not getting any readings from the port booster and we've lost comms and autopilot. It'll take some time to fix.","추진기와 통신,자동항법장치도 반응이 없습니다.신속히 조치하겠습니다."
0x586C032A,"Huh. That doesn't look good.  She's taken a lot of damage.","헐,안좋은데.너무 많이 박살났어."
0x5877DCAE,"Credits","제 작 진"
0x589E3B6B,"MINING DECK LOG\nKREUZ, G. (QMED)\nThe situation here just got a lot worse. The gravity failure came as we were collating asteroids, and one broke free of the grav beam. It collided with a wall, killing two crew, and split into chunks. They're free floating in the processing room, and we can't restore gravity to get the Master Key until they're cleared. We could really use some engineering help up here.","< 번역 누락 : 0x589E3B6B >"
0x58B217D1,"EA Support Organizations","< 번역 누락 : 0x58B217D1 >"
0x590316E2,"Large air canister that replenishes the air meter.","산소미터 보충용 대형 산소통"
0x59146752,"Glen Schofield","< 번역 누락 : 0x59146752 >"
0x59146753,"Chris Stone","< 번역 누락 : 0x59146753 >"
0x59146754,"Ben Wanat","< 번역 누락 : 0x59146754 >"
0x5923BC1E,"Edgar Sun","< 번역 누락 : 0x5923BC1E >"
0x5967C1A2,"Cursor Up","위"
0x599AE73F,"Go to the Bridge","브릿지로 가라"
0x59AA919D,"USE STASIS\nTO SLOW OBJECTS","감속장비로 목표물을 느려지게 하라"
0x59CB3A79,"EARS Game Lab","< 번역 누락 : 0x59CB3A79 >"
0x59E3FCCF,"SG-","< 번역 누락 : 0x59E3FCCF >"
0x59FF4066,"EAVESDROPPER","도 청 장 치"
0x5A2EB442,"[RDDown]Apply","< 번역 누락 : 0x5A2EB442 >"
0x5A3A3932,"Derek Chan","< 번역 누락 : 0x5A3A3932 >"
0x5A3ABFBD,"FIX CLIMATE CONTROL","< 번역 누락 : 0x5A3ABFBD >"
0x5A53D1E3,"Additional Sound Design","< 번역 누락 : 0x5A53D1E3 >"
0x5A80B575,"[Mouse_Accept]Continue","< 번역 누락 : 0x5A80B575 >"
0x5A93E3C6,"100","< 번역 누락 : 0x5A93E3C6 >"
0x5A9E01B4,"[Activate]","< 번역 누락 : 0x5A9E01B4 >"
0x5AA0B8CF,"Chapter 11: Alternate Solutions","< 번역 누락 : 0x5AA0B8CF >"
0x5ABBB139,"Find the DNA Sample","DNA 샘플을 찾아라"
0x5AEBBE36,"Force an enemy into a Gravity Panel 5 times","< 번역 누락 : 0x5AEBBE36 >"
0x5AF02745,"Barracks","막 사"
0x5B1C1135,"[Movement]","< 번역 누락 : 0x5B1C1135 >"
0x5B1E768B,"Resume","돌 아 가 기"
0x5B37E37C,"Controller %d Unplugged.\nPlease reconnect controller.","< 번역 누락 : 0x5B37E37C >"
0x5B818629,"Associate Product Manager","< 번역 누락 : 0x5B818629 >"
0x5B933F58,"Lead Technical Art Director","< 번역 누락 : 0x5B933F58 >"
0x5B9A20B6,"[Aim_Mode]","< 번역 누락 : 0x5B9A20B6 >"
0x5BCC7DD3,"Michael Davies","< 번역 누락 : 0x5BCC7DD3 >"
0x5BCC7DD4,"Tom Felker","< 번역 누락 : 0x5BCC7DD4 >"
0x5BCC7DD5,"Sophia Han","< 번역 누락 : 0x5BCC7DD5 >"
0x5BCC7DD6,"Walter Wei-Lun Huang","< 번역 누락 : 0x5BCC7DD6 >"
0x5BCC7DD7,"Leo H. Lee","< 번역 누락 : 0x5BCC7DD7 >"
0x5BCC7DD8,"George Lu","< 번역 누락 : 0x5BCC7DD8 >"
0x5BCC7DD9,"Phil Maynard","< 번역 누락 : 0x5BCC7DD9 >"
0x5BCC7DDA,"Michael Noonan","< 번역 누락 : 0x5BCC7DDA >"
0x5BCC7DDB,"Matt Pettifer","< 번역 누락 : 0x5BCC7DDB >"
0x5BF7A2A4,"The ADS is now fully operational.  It should protect us from any asteroid collisions.  Looks like we've bought ourselves some time.","ADS가 작동되고 있다.좀더 시간을 번 셈이다."
0x5C0C05A6,"Medical gel pack that restores full health.","체력을 완치하는 회복제."
0x5C183037,"[Map]","< 번역 누락 : 0x5C183037 >"
0x5C466DC7,"Back","뒤 로"
0x5C466DD4,"Back","뒤 로"
0x5C4CB95A,"Russian Product Manager","< 번역 누락 : 0x5C4CB95A >"
0x5C4CB95F,"Russian Public Relations","< 번역 누락 : 0x5C4CB95F >"
0x5C4F6FFE,"Back","뒤 로"
0x5C4F700B,"Back","뒤 로"
0x5C597158,"[Navigate]Navigate        [UI_Select]Select        [Exit_Rig]Exit","< 번역 누락 : 0x5C597158 >"
0x5C761BFF,"Level Design Lead","< 번역 누락 : 0x5C761BFF >"
0x5C7C50EA,"David Yee","< 번역 누락 : 0x5C7C50EA >"
0x5C8F14D5,"Small air canister that replenishes the air meter.","산소미터 보충용 작은 산소통"
0x5C963FB8,"[Breadcrumbs]","< 번역 누락 : 0x5C963FB8 >"
0x5C976924,"Complete the game on any difficulty setting","< 번역 누락 : 0x5C976924 >"
0x5CC2F5DB,"Concept Artists","< 번역 누락 : 0x5CC2F5DB >"
0x5CE94722,"INITIATE FEEDING SYSTEM","…영양분 공급 시작"
0x5D144F39,"[Activate]","< 번역 누락 : 0x5D144F39 >"
0x5D19A005,"William Lane","< 번역 누락 : 0x5D19A005 >"
0x5D3A8A7C,"Fueling Complete","--주 유 완 료--"
0x5D3A8A7D,"Power routed to thrusters.","< 번역 누락 : 0x5D3A8A7D >"
0x5D709A07,"DAMAGE","파괴력"
0x5D76B79C,"Corrupted Save","< 번역 누락 : 0x5D76B79C >"
0x5DCB6913,"SFX Volume","효 과 음"
0x5DCCE1B9,"Destroy the Asteroids","소행성을 파괴하라"
0x5E0B3796,"POWER NODE\nACQUIRED","파 워 노 드 획 득"
0x5E3D21E2,"BRUTE COMBAT","브루트와 전투"
0x5E9D15EC,"/pause","/ 일 시 정 지"
0x5EB93D21,"LEVEL 4 SUIT","레벨 4 보호복"
0x5EBE46AA,"The Ishimura looks like it's in bad shape, and our shuttle is going to need extensive repairs.  Where the hell is the flight crew?","모든 상황이 좋지 않다.승무원들은 어디에 있을까? ."
0x5ECC9B79,"Level 3 Suit Schematic","레벨 3 보호복 설계도"
0x5EEEF7F2,"R Ctrl","< 번역 누락 : 0x5EEEF7F2 >"
0x5EF92D79,"AIR TIMER TRAINING","에 어 타 이 머"
0x5F32FD13,"MERCER'S LAST SERMON","머 서 의 마 지 막 설 교"
0x5F3DD1C9,"Glen A. Schofield","< 번역 누락 : 0x5F3DD1C9 >"
0x5F3DD1CA,"Michael Condrey","< 번역 누락 : 0x5F3DD1CA >"
0x5F3DD1CB,"Bret Robbins","< 번역 누락 : 0x5F3DD1CB >"
0x5F3DD1CC,"Ian Milham","< 번역 누락 : 0x5F3DD1CC >"
0x5F3DD1CD,"Ben Wanat","< 번역 누락 : 0x5F3DD1CD >"
0x5F3DD1CE,"Paul Mathus","< 번역 누락 : 0x5F3DD1CE >"
0x5F3DD1CF,"Steve Timson","< 번역 누락 : 0x5F3DD1CF >"
0x5F3DD1D0,"Don Veca","< 번역 누락 : 0x5F3DD1D0 >"
0x5F3DD1D1,"Doug Brooks","< 번역 누락 : 0x5F3DD1D1 >"
0x5F97F49B,"Sell","판매"
0x5FC98719,"Special Thanks","< 번역 누락 : 0x5FC98719 >"
0x5FDFA83D,"Anti Aliasing","안티 에일리어싱"
0x5FE13D93,"Steve Timson","< 번역 누락 : 0x5FE13D93 >"
0x601317AC,"Refueling Chamber","연 료 주 입 장 치"
0x601317AD,"Engine Room","엔 진 실"
0x601317AE,"Engineering Storage","기 술 보 관 실"
0x601317AF,"Fuel Storage","연 료 저 장 실"
0x601317B0,"Control Room","통 제 실"
0x601317B1,"Tram Station","정 거 장"
0x601317B2,"Machine Shop","기 계 실"
0x601317B3,"Centrifuge","원 심 분 리 기"
0x601317B4,"Decontamination","오 염 제 거 실"
0x602851F0,"GRAVITY TETHER STATUS","중 력 올 가 미 상 태"
0x602851F1,"Malfunction!!! danger!!!","< 번역 누락 : 0x602851F1 >"
0x602B91F7,"Technical Artist","< 번역 누락 : 0x602B91F7 >"
0x604F1907,"CENTRIFUGE ONLINE","< 번역 누락 : 0x604F1907 >"
0x6063D957,"APAC Product Manager","< 번역 누락 : 0x6063D957 >"
0x60C09F1B,"R Shift","< 번역 누락 : 0x60C09F1B >"
0x60C91B82,"CAPSULE COMPLETE","< 번역 누락 : 0x60C91B82 >"
0x60CA71FD,"David Blizard","< 번역 누락 : 0x60CA71FD >"
0x60DE1239,"Go to the Bridge","브릿지로 가라"
0x6105236A,"Kill at least 30 enemies with a melee attack","< 번역 누락 : 0x6105236A >"
0x614B18B0,"OPEN?","열 기"
0x61A565F7,"START","시 작"
0x61B6D8E1,"Finally, the ship seems stable.  I've bought us some time, hopefully enough to find this SOS Beacon.  But even if we send out a distress signal, is anyone close enough to this system to hear it...?","채굴구역에서 SOS장치를 찾아야한다."
0x61ECBC9A,"Foot Stomp","발 구 르 기"
0x620EA290,"Large Med Pack Schematic","대형 회복제 설계도"
0x622F125E,"RECOMBINATION STUDY","재 조 합 연 구"
0x623DC5BF,"David Pugh","< 번역 누락 : 0x623DC5BF >"
0x623DC5C0,"Joe Spicher","< 번역 누락 : 0x623DC5C0 >"
0x6251A1C9,"FLAME FUEL\nSchematic Acquired\nDownload at the Store","기름통 설계도 획득"
0x62945F22,"Shadow Quality","그 림 자 수 준"
0x62A16A81,"Complete Chapter 4 on any difficulty setting","< 번역 누락 : 0x62A16A81 >"
0x62CAD8F7,"Environment Artists","< 번역 누락 : 0x62CAD8F7 >"
0x62D7ACF7,"Call\nGondola","< 번역 누락 : 0x62D7ACF7 >"
0x62D879A6,"INPUT CARGO NUMBER","< 번역 누락 : 0x62D879A6 >"
0x62D879A7,"11506","< 번역 누락 : 0x62D879A7 >"
0x62D879A8,"ACCESSING CARGO","< 번역 누락 : 0x62D879A8 >"
0x62D879A9,"CARGO DELIVERED","< 번역 누락 : 0x62D879A9 >"
0x632B1061,"Impossible","불 가 능"
0x63BB13E3,"BACK","뒤 로"
0x63C2B337,"COMMUNICATON CONTROL","< 번역 누락 : 0x63C2B337 >"
0x63EF42B9,"Kill the Captain","선장을 제거하라"
0x63FD6D24,"Can't Sell","< 번역 누락 : 0x63FD6D24 >"
0x640AEA0E,"WIDTH","너 비"
0x643B562D,"Pause Menu","일 시 정 지"
0x643F1E8D,"To: Zach Hammond\nFrom: XXXXXXXXXXX\nRe: Background request\n\nPer your request, here's what we could find on your hastily- assembled crew.\n\nISAAC CLARKE\n\nIsaac was born to Poul and Octavia Clark on Earth in the eastern seaboard region of the American Republic. Poul Clarke was an award-winning ship architect employed by the Galactic Union Marine Corp. His record shows extended time off-world away from his family.\n\n","< 번역 누락 : 0x643F1E8D >"
0x64571DF6,"DS Concept Art","< 번역 누락 : 0x64571DF6 >"
0x647D7CE7,"I find it hard to believe that the Ishimura ran out of fuel. They haven't been on mission long enough for that. Either the fuel lines are disengaged or something very bad has happened.\n","연료가 바닥난게 아닐 것이다.뭔가 다른 문제가…"
0x6484A3B8,"BEAM WIDTH CIRCUIT (WID)","< 번역 누락 : 0x6484A3B8 >"
0x6484A3B9,"This will upgrade your WIDTH by %g pts.","< 번역 누락 : 0x6484A3B9 >"
0x64B4DE5D,"[LDUp]","< 번역 누락 : 0x64B4DE5D >"
0x64B4FBEA,"Increases Inventory slots and Armor.","가방의 용량과 방어력이 증가한다."
0x64C85A42,"Bring this schematic to the store to unlock the Level 3 Suit.","상점에 가져가면 잠금이 해제됩니다."
0x64E0A167,"Breadcrumbs","길 안 내"
0x64F6352B,"Use Kinesis to move or throw objects.  ","유도장비는 목표물을 이동시키거나 던질 수 있다."
0x64F832CD,"MEET ON THE FLIGHT DECK","비 행 갑 판 에 서"
0x64FCB6C1,"This will upgrade your AIR by %g sec.","< 번역 누락 : 0x64FCB6C1 >"
0x650A696C,"Credits_AddArt_EASH_ProdCrd","< 번역 누락 : 0x650A696C >"
0x650A696D,"Credits_AddArt_EASH_Art","< 번역 누락 : 0x650A696D >"
0x650A696E,"Credits_AddArt_EASH_AsoArt","< 번역 누락 : 0x650A696E >"
0x650A696F,"Credits_AddArt_EASH_AstArt","< 번역 누락 : 0x650A696F >"
0x650A6970,"Credits_AddArt_EASH_Tech","< 번역 누락 : 0x650A6970 >"
0x650A6971,"Credits_Blank_Line","< 번역 누락 : 0x650A6971 >"
0x650A6972,"Credits_AddArt_MW","< 번역 누락 : 0x650A6972 >"
0x650A6973,"Credits_AddArt_MW_Lead_Char","< 번역 누락 : 0x650A6973 >"
0x650A6974,"Credits_AddArt_MW_Lead_Env","< 번역 누락 : 0x650A6974 >"
0x650A6975,"Credits_AddArt_MW_Lead_Obj","< 번역 누락 : 0x650A6975 >"
0x650B69AB,"Credits_AddArt_MW_Char","< 번역 누락 : 0x650B69AB >"
0x650B69AC,"Credits_AddArt_MW_Env","< 번역 누락 : 0x650B69AC >"
0x650B69AD,"Credits_AddArt_MW_Obj","< 번역 누락 : 0x650B69AD >"
0x650B69AE,"Credits_AddArt_MW_Trans","< 번역 누락 : 0x650B69AE >"
0x650B69AF,"Credits_AddArt_MW_Thx","< 번역 누락 : 0x650B69AF >"
0x650B69B0,"Credits_Blank_Line","< 번역 누락 : 0x650B69B0 >"
0x650B69B1,"Credits_Exec","< 번역 누락 : 0x650B69B1 >"
0x650B69B2,"Credits_Exec_CEO","< 번역 누락 : 0x650B69B2 >"
0x650B69B3,"Credits_Exec_EAG_Pres","< 번역 누락 : 0x650B69B3 >"
0x650B69B4,"Credits_Exec_EAG_SVP","< 번역 누락 : 0x650B69B4 >"
0x650C69EA,"Credits_Blank_Line","< 번역 누락 : 0x650C69EA >"
0x650C69EB,"Credits_Mkt","< 번역 누락 : 0x650C69EB >"
0x650C69EC,"Credits_Mkt_Sr_GVP","< 번역 누락 : 0x650C69EC >"
0x650C69ED,"Credits_Mkt_VP_EARS","< 번역 누락 : 0x650C69ED >"
0x650C69EE,"Credits_Mkt_Glo_PM","< 번역 누락 : 0x650C69EE >"
0x650C69EF,"Credits_Mkt_Ass_PM","< 번역 누락 : 0x650C69EF >"
0x650C69F0,"Credits_Mkt_Intl_PM","< 번역 누락 : 0x650C69F0 >"
0x650C69F1,"Credits_Mkt_Intl_MM","< 번역 누락 : 0x650C69F1 >"
0x650C69F2,"Credits_Mkt_Intl_APAC_PM","< 번역 누락 : 0x650C69F2 >"
0x650C69F3,"Credits_Mkt_Sr_Pub","< 번역 누락 : 0x650C69F3 >"
0x650D6A29,"Credits_Mkt_Sr_PRMgr","< 번역 누락 : 0x650D6A29 >"
0x650D6A2A,"Credits_Mkt_Pub","< 번역 누락 : 0x650D6A2A >"
0x650D6A2B,"Credits_Mkt_Onl_MM","< 번역 누락 : 0x650D6A2B >"
0x650D6A2C,"Credits_Mkt_Comm","< 번역 누락 : 0x650D6A2C >"
0x650D6A2D,"Credits_Mkt_Sr_Adv","< 번역 누락 : 0x650D6A2D >"
0x650D6A2E,"Credits_Mkt_Intern","< 번역 누락 : 0x650D6A2E >"
0x650D6A2F,"Credits_Mkt_Bel_PM","< 번역 누락 : 0x650D6A2F >"
0x650D6A30,"Credits_Mkt_Fr_PM","< 번역 누락 : 0x650D6A30 >"
0x650D6A31,"Credits_Mkt_Fr_PR","< 번역 누락 : 0x650D6A31 >"
0x650D6A32,"Credits_Mkt_Ger_PM","< 번역 누락 : 0x650D6A32 >"
0x650E40B6,"John Riccitiello","< 번역 누락 : 0x650E40B6 >"
0x650E6A68,"Credits_Mkt_Ger_PR","< 번역 누락 : 0x650E6A68 >"
0x650E6A69,"Credits_Mkt_Itl_PM","< 번역 누락 : 0x650E6A69 >"
0x650E6A6A,"Credits_Mkt_Itl_PR","< 번역 누락 : 0x650E6A6A >"
0x650E6A6B,"Credits_Mkt_Spa_PM","< 번역 누락 : 0x650E6A6B >"
0x650E6A6C,"Credits_Mkt_Rus_PM","< 번역 누락 : 0x650E6A6C >"
0x650E6A6D,"Credits_Mkt_Rus_PR","< 번역 누락 : 0x650E6A6D >"
0x650E6A6E,"Credits_Mkt_UK_PM","< 번역 누락 : 0x650E6A6E >"
0x650E6A6F,"Credits_Mkt_UK_PR","< 번역 누락 : 0x650E6A6F >"
0x650E6A70,"Credits_Mkt_Sr_Camp","< 번역 누락 : 0x650E6A70 >"
0x650E6A71,"Credits_Mkt_Intl_Camp","< 번역 누락 : 0x650E6A71 >"
0x650F6AA7,"Credits_Mkt_Mem","< 번역 누락 : 0x650F6AA7 >"
0x650F6AA8,"Credits_Blank_Line","< 번역 누락 : 0x650F6AA8 >"
0x650F6AA9,"Credits_Loc","< 번역 누락 : 0x650F6AA9 >"
0x650F6AAA,"Credits_Loc_Intl_PM","< 번역 누락 : 0x650F6AAA >"
